"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
0.260976412018774,0.198981736175214,0.045,0.04,1,"AGBL5"
0.261330671737552,0.413409447368458,0.012,0.009,1,"P2RY11"
0.26161996415636,0.210690941803859,0.067,0.063,1,"VWA8"
0.262242748744419,-0.207373945345399,0.009,0.011,1,"AC103736.1"
0.262592883236529,-0.179905469965872,0.012,0.015,1,"UBAP1L"
0.262618104518843,0.281537036233502,0.039,0.034,1,"OSGEPL1"
0.262915390708583,0.481608264732473,0.01,0.008,1,"ZNF132"
0.263128398963298,-0.124258148927307,0.035,0.04,1,"HIRA"
0.26408517306255,0.497036961258948,0.01,0.008,1,"ZNF547"
0.264286615665125,0.23478473060672,0.051,0.047,1,"NEK4"
0.26453112976438,0.139431943980474,0.044,0.039,1,"EGFL7"
0.264697303620202,0.20243407672548,0.074,0.069,1,"FBXL4"
0.26522524523249,-0.35829127326568,0.009,0.012,1,"HYAL3"
0.265419647628297,0.246130738178003,0.044,0.04,1,"CIART"
0.265675874821561,0.184677230878215,0.105,0.102,1,"WDR34"
0.265774007891462,0.411838454248457,0.019,0.016,1,"GEN1"
0.266120910565162,0.31352847366789,0.022,0.019,1,"RNF208"
0.266775415269553,0.143746609647271,0.144,0.144,1,"MRPS9"
0.266809182994562,0.172633693935088,0.088,0.099,1,"HERC5"
0.26775496675347,0.147510647955737,0.094,0.091,1,"AP3M1"
0.267985598716731,0.15297985613228,0.139,0.137,1,"BIRC2"
0.26836336784583,0.206045253065544,0.062,0.057,1,"C2orf69"
0.268444789790033,0.429213299841755,0.01,0.008,1,"AC005363.2"
0.268648288672123,0.249688664651315,0.053,0.049,1,"MYBBP1A"
0.268993687998619,-0.210015705343681,0.009,0.012,1,"ZNF98"
0.269014465098411,0.190343378581314,0.08,0.075,1,"DNAJA3"
0.26939947639765,0.109964000339361,0.271,0.277,1,"CRBN"
0.270115225455735,0.136566777101497,0.125,0.123,1,"OTUD5"
0.270338927188773,0.401811172215118,0.012,0.01,1,"NCK1-DT"
0.270344297664747,0.229765122287517,0.046,0.042,1,"BRF1"
0.270354044621131,0.267858692836701,0.041,0.036,1,"ZFP64"
0.271159628438068,0.175615010569025,0.118,0.114,1,"ANKRD50"
0.271480744855552,0.244761694745256,0.046,0.041,1,"KCNK3"
0.271507622304525,-0.18083623571192,0.014,0.017,1,"ADAMTSL4-AS1"
0.271968526395766,0.212294256195815,0.06,0.056,1,"UEVLD"
0.272500939939916,0.305018894794135,0.017,0.014,1,"SFXN2"
0.272590492753012,0.413312955957947,0.015,0.012,1,"GRTP1"
0.273464605247063,0.220910311709275,0.061,0.057,1,"GTF3C4"
0.273782906373753,0.264841278137533,0.045,0.041,1,"XPO4"
0.273949379570269,0.21619036157698,0.069,0.065,1,"KHNYN"
0.274101735173683,-0.214516607057657,0.011,0.013,1,"AP003469.4"
0.274361866607094,0.190960841521411,0.085,0.082,1,"TRMT61A"
0.274693014587577,0.195832614903512,0.075,0.071,1,"SNHG3"
0.274752960300539,0.141266572482956,0.138,0.137,1,"GABPB1-IT1"
0.275122243761637,-0.375647488687676,0.008,0.01,1,"AL353795.3"
0.275299439144301,-0.111753581765401,0.056,0.063,1,"URB1"
0.275801614343755,-0.141516698941023,0.019,0.022,1,"ZNF582"
0.277329472810137,0.386856110587534,0.013,0.01,1,"AC004908.2"
0.27742914660954,0.256414530021496,0.073,0.069,1,"ELK3"
0.277773147679067,0.352346131904672,0.021,0.018,1,"AC018628.1"
0.277779717110189,0.192542777461672,0.091,0.087,1,"C3orf38"
0.278061241748565,0.191721142687112,0.106,0.103,1,"PPP5C"
0.278092032990236,0.240496759581883,0.059,0.055,1,"ERVK3-1"
0.278389069595549,0.389494234644161,0.015,0.012,1,"TYRO3"
0.278531405465934,-0.214254306461136,0.043,0.048,1,"CHFR"
0.27933884535754,0.325179284799852,0.039,0.035,1,"PLEKHA8"
0.279491299607001,0.225480880562202,0.019,0.016,1,"AL513550.1"
0.279949363465687,0.303655575421635,0.041,0.037,1,"ZNF71"
0.279955640801738,0.24125471053496,0.044,0.04,1,"FAM219A"
0.280643798729053,0.301285164472009,0.013,0.011,1,"ICA1"
0.280986098439391,-0.16308621434372,0.031,0.036,1,"MSTO1"
0.281180121350694,0.124237917723627,0.146,0.147,1,"LETMD1"
