"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
8.805491e-15,1.004156,0.353,0.184,2.705399e-10,"33","EML4"
9.30227e-15,0.5265846,0.59,0.371,2.858029e-10,"33","FABP5"
9.352658e-15,1.240915,0.363,0.199,2.873511e-10,"33","S100A9"
9.450955e-15,1.113381,0.284,0.135,2.903711e-10,"33","BRD8"
1.192383e-14,0.4792762,0.836,0.628,3.663477e-10,"33","DNAJA1"
1.448064e-14,0.9798515,0.29,0.139,4.449033e-10,"33","ATP13A3"
1.469013e-14,0.9072648,0.369,0.196,4.513397e-10,"33","ASNA1"
1.681125e-14,1.145568,0.259,0.118,5.165089e-10,"33","PAF1"
1.69518e-14,1.147801,0.268,0.125,5.208272e-10,"33","HIST1H2AC"
1.864377e-14,0.6619261,0.555,0.348,5.728113e-10,"33","SELENOH"
1.876833e-14,1.018954,0.3,0.146,5.766381e-10,"33","KIAA0586"
1.877156e-14,0.9559687,0.319,0.158,5.767375e-10,"33","CARD16"
2.196619e-14,0.9798421,0.35,0.185,6.748893e-10,"33","PMVK"
2.274896e-14,0.8889991,0.382,0.207,6.989389e-10,"33","RPS6KA3"
2.284905e-14,0.6784793,0.476,0.278,7.020143e-10,"33","PABPC4"
2.373013e-14,0.7671626,0.543,0.352,7.290845e-10,"33","NUDC"
2.888038e-14,0.6999721,0.511,0.309,8.873208e-10,"33","XRN2"
2.927413e-14,0.8650218,0.369,0.197,8.994183e-10,"33","PPHLN1"
3.272884e-14,1.101675,0.271,0.128,1.005561e-09,"33","DNAJB11"
3.319281e-14,1.125365,0.306,0.157,1.019816e-09,"33","SNHG12"
3.558304e-14,0.5516216,0.644,0.416,1.093253e-09,"33","YY1"
3.627329e-14,0.8410064,0.464,0.278,1.114461e-09,"33","RFC1"
3.66966e-14,0.8508118,0.394,0.218,1.127466e-09,"33","MANF"
4.059417e-14,1.015194,0.284,0.137,1.247215e-09,"33","NARF"
4.348585e-14,1.117861,0.281,0.136,1.336059e-09,"33","GARS"
4.378034e-14,1.046835,0.552,0.389,1.345107e-09,"33","PLP2"
4.746118e-14,0.6923114,0.552,0.355,1.458197e-09,"33","HLA-DPB1"
4.768706e-14,0.948368,0.341,0.178,1.465137e-09,"33","WAPL"
5.064037e-14,0.6606986,0.618,0.411,1.555875e-09,"33","PNRC2"
5.086283e-14,1.056477,0.312,0.158,1.56271e-09,"33","UBAC1"
5.338984e-14,0.7421405,0.521,0.33,1.640349e-09,"33","GGNBP2"
5.878873e-14,0.6572169,0.599,0.386,1.806225e-09,"33","HNRNPA0"
6.343399e-14,0.6872368,0.543,0.341,1.948946e-09,"33","TUFM"
6.599458e-14,0.4638575,0.41,0.213,2.027618e-09,"33","HLA-DRB6"
6.811487e-14,0.9941586,0.271,0.128,2.092761e-09,"33","SEC22C"
7.62117e-14,0.9590567,0.344,0.182,2.341528e-09,"33","TIPRL"
7.98345e-14,0.9570457,0.328,0.17,2.452835e-09,"33","RNF167"
8.22002e-14,0.9983683,0.278,0.133,2.525519e-09,"33","NMI"
8.320706e-14,1.055047,0.262,0.123,2.556454e-09,"33","ZFP91"
8.511808e-14,0.999487,0.297,0.146,2.615168e-09,"33","EIF2AK1"
8.858814e-14,0.831365,0.442,0.262,2.721782e-09,"33","MRPS34"
9.4788e-14,1.152142,0.252,0.118,2.912266e-09,"33","DDA1"
9.77687e-14,0.933789,0.262,0.121,3.003846e-09,"33","SIAH2"
9.936752e-14,0.5746613,0.729,0.512,3.052968e-09,"33","BRD2"
9.991184e-14,0.8346445,0.385,0.211,3.069691e-09,"33","USP14"
1.014126e-13,0.6311441,0.606,0.406,3.1158e-09,"33","PSMB6"
1.028089e-13,0.7661151,0.461,0.272,3.158702e-09,"33","POLR2A"
1.031037e-13,0.7497672,0.416,0.231,3.167759e-09,"33","CHD4"
1.033791e-13,0.6261421,0.621,0.42,3.176219e-09,"33","ANKRD11"
1.289479e-13,1.090964,0.262,0.124,3.961794e-09,"33","MTMR6"
1.430102e-13,0.9410915,0.309,0.156,4.393845e-09,"33","LCOR"
1.661188e-13,1.036645,0.265,0.126,5.103834e-09,"33","RPL26L1"
1.702652e-13,0.6334973,0.558,0.353,5.231229e-09,"33","NSD3"
